match_stats_id,match_id,ace,df,svpt,1stIn,1stWon,2ndWon,SvGms,bpSaved,bpFaced
2014-580-1-w,2014-580-1,5,1,26,16,14,6,5,0,0
2014-580-2-w,2014-580-2,6,9,147,79,55,36,19,5,9
2014-580-3-w,2014-580-3,16,12,148,74,54,43,21,10,12
2014-580-4-w,2014-580-4,10,5,78,51,44,17,15,0,0
2014-580-5-w,2014-580-5,17,5,176,103,72,40,29,6,13
2014-580-6-w,2014-580-6,0,5,106,77,58,16,16,3,4
2014-580-7-w,2014-580-7,7,7,132,80,53,30,21,4,8
2014-580-8-w,2014-580-8,6,5,143,96,69,26,23,6,9
2014-580-9-w,2014-580-9,21,7,101,65,56,17,18,3,6
2014-580-10-w,2014-580-10,8,4,120,78,59,24,17,5,6
2014-580-11-w,2014-580-11,9,5,76,47,33,11,12,4,7
2014-580-12-w,2014-580-12,14,4,108,62,55,30,20,0,0
2014-580-13-w,2014-580-13,24,6,106,60,54,22,16,3,4
2014-580-14-w,2014-580-14,34,13,123,69,63,22,21,4,7
2014-580-15-w,2014-580-15,1,1,61,50,37,7,11,1,2
2014-580-16-w,2014-580-16,16,3,115,73,61,24,21,1,2
2014-580-17-w,2014-580-17,11,2,59,41,33,11,11,0,0
2014-580-18-w,2014-580-18,18,9,166,96,64,33,25,13,20
2014-580-19-w,2014-580-19,9,6,73,46,39,19,14,2,2
2014-580-20-w,2014-580-20,12,2,95,62,50,18,16,5,7
2014-580-21-w,2014-580-21,4,2,71,33,25,21,13,1,5
2014-580-22-w,2014-580-22,15,0,89,61,48,17,16,2,4
2014-580-23-w,2014-580-23,6,8,102,69,57,13,15,8,8
2014-580-24-w,2014-580-24,9,2,58,32,27,21,11,3,3
2014-580-25-w,2014-580-25,15,1,82,51,37,23,15,1,2
2014-580-26-w,2014-580-26,8,6,99,53,40,23,16,4,8
2014-580-27-w,2014-580-27,22,4,120,70,58,29,23,1,3
2014-580-28-w,2014-580-28,32,17,257,143,114,57,35,23,25
2014-580-29-w,2014-580-29,20,6,115,70,59,24,19,4,5
2014-580-30-w,2014-580-30,5,4,114,66,49,24,18,3,6
2014-580-31-w,2014-580-31,10,6,103,65,43,22,16,7,11
2014-580-32-w,2014-580-32,11,5,78,45,40,19,14,1,1
2014-580-33-w,2014-580-33,8,0,71,47,39,19,14,2,2
2014-580-34-w,2014-580-34,19,13,133,84,63,20,18,11,13
2014-580-35-w,2014-580-35,4,3,68,36,31,19,12,1,2
2014-580-36-w,2014-580-36,8,2,100,83,68,12,17,2,3
2014-580-37-w,2014-580-37,21,9,146,92,76,28,25,4,6
2014-580-38-w,2014-580-38,20,3,137,76,60,31,21,5,8
2014-580-39-w,2014-580-39,6,6,168,109,67,32,21,9,13
2014-580-40-w,2014-580-40,7,3,60,35,27,11,9,1,2
2014-580-41-w,2014-580-41,5,2,86,59,39,17,13,3,5
2014-580-42-w,2014-580-42,6,1,83,49,37,21,14,2,3
2014-580-43-w,2014-580-43,2,1,90,66,40,15,14,4,7
2014-580-44-w,2014-580-44,17,11,162,104,74,27,21,7,10
2014-580-45-w,2014-580-45,9,3,88,58,46,16,14,5,5
2014-580-46-w,2014-580-46,8,4,91,53,42,23,16,2,3
2014-580-47-w,2014-580-47,3,3,140,81,52,37,23,2,6
2014-580-48-w,2014-580-48,2,6,83,44,28,21,15,2,7
2014-580-49-w,2014-580-49,4,1,35,22,20,6,7,1,2
2014-580-50-w,2014-580-50,4,2,123,74,50,23,18,10,14
2014-580-51-w,2014-580-51,7,7,132,89,58,23,23,9,15
2014-580-52-w,2014-580-52,6,4,75,50,45,13,14,2,2
2014-580-53-w,2014-580-53,13,0,144,82,62,43,26,4,7
