match_id,tourney_id,match_num,score,best_of,round,minutes
2014-580-1,2014-580,1,6-4 RET,5,R128,41
2014-580-2,2014-580,2,7-6(4) 0-6 7-6(3) 6-2,5,R128,182
2014-580-3,2014-580,3,7-6(5) 5-7 6-2 6-4,5,R128,242
2014-580-4,2014-580,4,6-4 6-4 6-4,5,R128,111
2014-580-5,2014-580,5,7-6(4) 6-3 5-7 5-7 7-5,5,R128,258
2014-580-6,2014-580,6,6-7(4) 7-6(2) 6-2 1-0 RET,5,R128,154
2014-580-7,2014-580,7,6-4 7-6(9) 4-6 6-3,5,R128,183
2014-580-8,2014-580,8,6-3 5-7 6-2 4-6 6-2,5,R128,221
2014-580-9,2014-580,9,7-6(2) 6-1 4-6 6-2,5,R128,144
2014-580-10,2014-580,10,7-6(5) 7-6(5) 6-3,5,R128,136
2014-580-11,2014-580,11,6-3 6-2 6-1,5,R128,108
2014-580-12,2014-580,12,6-7(7) 6-4 6-4 6-3,5,R128,154
2014-580-13,2014-580,13,7-6(12) 6-3 6-4,5,R128,132
2014-580-14,2014-580,14,6-3 6-7(5) 6-2 7-6(2),5,R128,152
2014-580-15,2014-580,15,6-2 6-1 6-1,5,R128,90
2014-580-16,2014-580,16,6-7(1) 6-3 6-4 6-4,5,R128,184
2014-580-17,2014-580,17,6-1 6-1 6-3,5,R128,87
2014-580-18,2014-580,18,7-5 4-6 6-7(4) 6-1 6-3,5,R128,209
2014-580-19,2014-580,19,6-4 7-5 6-1,5,R128,94
2014-580-20,2014-580,20,6-4 6-4 7-6(2),5,R128,133
2014-580-21,2014-580,21,7-6(3) 6-3 6-0,5,R128,113
2014-580-22,2014-580,22,6-3 7-6(4) 7-5,5,R128,126
2014-580-23,2014-580,23,6-4 6-2 7-5,5,R128,128
2014-580-24,2014-580,24,6-2 7-6(6) RET,5,R128,82
2014-580-25,2014-580,25,7-5 6-3 6-3,5,R128,110
2014-580-26,2014-580,26,4-6 6-3 7-6(5) RET,5,R128,132
2014-580-27,2014-580,27,4-6 4-6 6-3 6-3 6-2,5,R128,192
2014-580-28,2014-580,28,6-7(4) 6-4 3-6 6-3 16-14,5,R128,272
2014-580-29,2014-580,29,5-7 6-3 6-2 6-3,5,R128,146
2014-580-30,2014-580,30,6-7(3) 6-4 6-2 6-0,5,R128,171
2014-580-31,2014-580,31,6-7(3) 4-6 6-1 2-0 RET,5,R128,167
2014-580-32,2014-580,32,6-4 6-4 6-2,5,R128,106
2014-580-33,2014-580,33,6-3 6-4 6-3,5,R128,110
2014-580-34,2014-580,34,7-5 7-5 7-6(2),5,R128,162
2014-580-35,2014-580,35,6-4 6-2 6-1,5,R128,86
2014-580-36,2014-580,36,7-6(8) 6-3 7-6(4),5,R128,114
