player_id,match_id,player_role,seed,entry,ranking,ranking_points,age
104745,2014-580-1,winner,1,NULL,1,13130,28
106423,2014-580-2,winner,NULL,WC,570,53,18
106058,2014-580-3,winner,NULL,NULL,95,582,21
104792,2014-580-4,winner,25,NULL,32,1245,27
104312,2014-580-5,winner,24,NULL,25,1360,30
105385,2014-580-6,winner,NULL,NULL,91,595,24
105583,2014-580-7,winner,NULL,Q,117,483,24
105453,2014-580-8,winner,16,NULL,17,1915,24
105683,2014-580-9,winner,11,NULL,11,2860,23
103812,2014-580-10,winner,NULL,NULL,76,665,32
104229,2014-580-11,winner,NULL,NULL,53,860,30
105777,2014-580-12,winner,22,NULL,22,1460,23
105332,2014-580-13,winner,27,NULL,28,1300,25
106401,2014-580-14,winner,NULL,WC,183,277,19
105138,2014-580-15,winner,NULL,NULL,62,750,26
105223,2014-580-16,winner,5,NULL,5,5415,25
104918,2014-580-17,winner,4,NULL,4,5560,27
104672,2014-580-18,winner,NULL,Q,267,170,28
103582,2014-580-19,winner,NULL,Q,144,391,34
103852,2014-580-20,winner,26,NULL,27,1310,32
103565,2014-580-21,winner,NULL,LL,119,479,34
104308,2014-580-22,winner,NULL,NULL,64,730,30
105641,2014-580-23,winner,NULL,Q,185,276,23
105373,2014-580-24,winner,NULL,LL,106,518,25
104542,2014-580-25,winner,10,NULL,10,3065,29
105064,2014-580-26,winner,NULL,Q,129,430,26
105227,2014-580-27,winner,NULL,NULL,36,1130,25
104468,2014-580-28,winner,18,NULL,19,1790,29
104269,2014-580-29,winner,31,NULL,33,1235,30
104559,2014-580-30,winner,NULL,NULL,79,651,29
104882,2014-580-31,winner,NULL,NULL,99,559,27
103819,2014-580-32,winner,6,NULL,6,4355,32
104607,2014-580-33,winner,7,NULL,7,4180,28
104932,2014-580-34,winner,NULL,NULL,86,617,27
106000,2014-580-35,winner,NULL,Q,188,272,22
104471,2014-580-36,winner,32,NULL,34,1190,29
104731,2014-580-37,winner,19,NULL,21,1580,28
106233,2014-580-38,winner,NULL,Q,136,422,20
104273,2014-580-39,winner,NULL,NULL,40,1038,30
104198,2014-580-40,winner,NULL,NULL,58,801,31
104022,2014-580-41,winner,14,NULL,15,2145,32
104252,2014-580-42,winner,NULL,NULL,37,1110,30
104665,2014-580-43,winner,NULL,NULL,48,946,28
105668,2014-580-44,winner,20,NULL,20,1615,23
104871,2014-580-45,winner,29,NULL,31,1255,27
105238,2014-580-46,winner,NULL,NULL,56,825,25
105173,2014-580-47,winner,NULL,NULL,71,692,26
103970,2014-580-48,winner,3,NULL,3,5640,32
104527,2014-580-49,winner,8,NULL,8,3890,29
104268,2014-580-50,winner,NULL,NULL,87,612,30
105051,2014-580-51,winner,NULL,NULL,67,711,26
105577,2014-580-52,winner,28,NULL,30,1289,24
103990,2014-580-53,winner,17,NULL,18,1810,32
103898,2014-580-54,winner,NULL,NULL,38,1090,32
103786,2014-580-55,winner,NULL,NULL,61,760,33
104755,2014-580-56,winner,9,NULL,9,3140,28
104926,2014-580-57,winner,15,NULL,16,1930,27
103813,2014-580-58,winner,NULL,NULL,39,1090,32
105023,2014-580-59,winner,NULL,NULL,51,915,26
105208,2014-580-60,winner,23,NULL,24,1418,25
104098,2014-580-61,winner,30,NULL,26,1314,31
104797,2014-580-62,winner,NULL,NULL,49,945,27
104919,2014-580-63,winner,NULL,NULL,98,579,27
104925,2014-580-64,winner,2,NULL,2,12260,27
104745,2014-580-65,winner,1,NULL,1,13130,28
104792,2014-580-66,winner,25,NULL,32,1245,27
105385,2014-580-67,winner,NULL,NULL,91,595,24
105453,2014-580-68,winner,16,NULL,17,1915,24
105683,2014-580-69,winner,11,NULL,11,2860,23
105777,2014-580-70,winner,22,NULL,22,1460,23
105332,2014-580-71,winner,27,NULL,28,1300,25
105138,2014-580-72,winner,NULL,NULL,62,750,26
104918,2014-580-73,winner,4,NULL,4,5560,27
103852,2014-580-74,winner,26,NULL,27,1310,32
103565,2014-580-75,winner,NULL,LL,119,479,34
105373,2014-580-76,winner,NULL,LL,106,518,25
104542,2014-580-77,winner,10,NULL,10,3065,29
104468,2014-580-78,winner,18,NULL,19,1790,29
104559,2014-580-79,winner,NULL,NULL,79,651,29
103819,2014-580-80,winner,6,NULL,6,4355,32
104607,2014-580-81,winner,7,NULL,7,4180,28
106000,2014-580-82,winner,NULL,Q,188,272,22
104731,2014-580-83,winner,19,NULL,21,1580,28
104273,2014-580-84,winner,NULL,NULL,40,1038,30
104252,2014-580-85,winner,NULL,NULL,37,1110,30
105668,2014-580-86,winner,20,NULL,20,1615,23
104871,2014-580-87,winner,29,NULL,31,1255,27
103970,2014-580-88,winner,3,NULL,3,5640,32
104527,2014-580-89,winner,8,NULL,8,3890,29
105577,2014-580-90,winner,28,NULL,30,1289,24
103990,2014-580-91,winner,17,NULL,18,1810,32
104755,2014-580-92,winner,9,NULL,9,3140,28
104926,2014-580-93,winner,15,NULL,16,1930,27
105023,2014-580-94,winner,NULL,NULL,51,915,26
104797,2014-580-95,winner,NULL,NULL,49,945,27
104925,2014-580-96,winner,2,NULL,2,12260,27
104745,2014-580-97,winner,1,NULL,1,13130,28
105453,2014-580-98,winner,16,NULL,17,1915,24
105777,2014-580-99,winner,22,NULL,22,1460,23
105138,2014-580-100,winner,NULL,NULL,62,750,26
104918,2014-580-101,winner,4,NULL,4,5560,27
103565,2014-580-102,winner,NULL,LL,119,479,34
104542,2014-580-103,winner,10,NULL,10,3065,29
103819,2014-580-104,winner,6,NULL,6,4355,32
104607,2014-580-105,winner,7,NULL,7,4180,28
104731,2014-580-106,winner,19,NULL,21,1580,28
104252,2014-580-107,winner,NULL,NULL,37,1110,30
103970,2014-580-108,winner,3,NULL,3,5640,32
104527,2014-580-109,winner,8,NULL,8,3890,29
103990,2014-580-110,winner,17,NULL,18,1810,32
104926,2014-580-111,winner,15,NULL,16,1930,27
104925,2014-580-112,winner,2,NULL,2,12260,27
104745,2014-580-113,winner,1,NULL,1,13130,28
105777,2014-580-114,winner,22,NULL,22,1460,23
104918,2014-580-115,winner,4,NULL,4,5560,27
103819,2014-580-116,winner,6,NULL,6,4355,32
104607,2014-580-117,winner,7,NULL,7,4180,28
103970,2014-580-118,winner,3,NULL,3,5640,32
104527,2014-580-119,winner,8,NULL,8,3890,29
104925,2014-580-120,winner,2,NULL,2,12260,27
104745,2014-580-121,winner,1,NULL,1,13130,28
103819,2014-580-122,winner,6,NULL,6,4355,32
104607,2014-580-123,winner,7,NULL,7,4180,28
104527,2014-580-124,winner,8,NULL,8,3890,29
104745,2014-580-125,winner,1,NULL,1,13130,28
104527,2014-580-126,winner,8,NULL,8,3890,29
104527,2014-580-127,winner,8,NULL,8,3890,29
104745,2014-520-1,winner,1,NULL,1,12500,28
106233,2014-520-2,winner,NULL,NULL,57,812,21
104919,2014-520-3,winner,NULL,NULL,65,733,27
104559,2014-520-4,winner,NULL,NULL,58,798,29
106058,2014-520-5,winner,NULL,NULL,75,678,22
105449,2014-520-6,winner,NULL,NULL,64,748,24
105583,2014-520-7,winner,NULL,NULL,83,632,24
105132,2014-520-8,winner,NULL,NULL,335,133,26
103333,2014-520-9,winner,NULL,NULL,37,1097,35
104890,2014-520-10,winner,NULL,Q,104,553,27
105678,2014-520-11,winner,NULL,WC,206,238,23
104731,2014-520-12,winner,19,NULL,20,1710,28
104312,2014-520-13,winner,32,NULL,33,1150,30
104338,2014-520-14,winner,NULL,NULL,76,675,30
104620,2014-520-15,winner,NULL,Q,150,385,29
103970,2014-520-16,winner,5,NULL,5,5030,32
104198,2014-520-17,winner,NULL,NULL,41,1063,31
105173,2014-520-18,winner,NULL,NULL,89,612,26
105385,2014-520-19,winner,NULL,NULL,79,647,25
103852,2014-520-20,winner,26,NULL,27,1395,33
104792,2014-520-21,winner,23,NULL,28,1390,28
105526,2014-520-22,winner,NULL,NULL,62,753,24
105064,2014-520-23,winner,NULL,NULL,108,540,26
104926,2014-520-24,winner,14,NULL,15,2155,27
104755,2014-520-25,winner,12,NULL,13,2445,28
104122,2014-520-26,winner,NULL,NULL,47,975,31
104655,2014-520-27,winner,NULL,NULL,136,416,28
104269,2014-520-28,winner,24,NULL,25,1420,31
104259,2014-520-29,winner,28,NULL,24,1485,31
104797,2014-520-30,winner,NULL,NULL,49,915,28
104594,2014-520-31,winner,NULL,NULL,66,732,29
104918,2014-520-32,winner,7,NULL,8,4120,27
104607,2014-520-33,winner,6,NULL,6,4330,29
104873,2014-520-34,winner,NULL,NULL,101,591,27
105332,2014-520-35,winner,NULL,NULL,61,760,25
105138,2014-520-36,winner,27,NULL,29,1330,26
103990,2014-520-37,winner,17,NULL,19,1900,32
104932,2014-520-38,winner,NULL,NULL,72,704,27
105062,2014-520-39,winner,NULL,NULL,54,859,26
104545,2014-520-40,winner,10,NULL,11,2600,29
104022,2014-520-41,winner,15,NULL,16,2065,32
103285,2014-520-42,winner,NULL,NULL,43,1040,35
105487,2014-520-43,winner,NULL,Q,143,398,24
105208,2014-520-44,winner,18,NULL,17,2050,26
