player_id,player_name,hand,height,ioc
106361,Adam Pavlasek,R,186,CZE
105173,Adrian Mannarino,L,183,FRA
104629,Adrian Menendez Maceiras,R,185,ESP
104494,Adrian Ungur,R,178,ROU
202400,Alastair Gray,R,NULL,GBR
105874,Albano Olivetti,R,203,FRA
103656,Albert Montanes,R,175,ESP
105077,Albert Ramos,L,188,ESP
200221,Alejandro Davidovich Fokina,R,183,ESP
104268,Alejandro Falla,L,185,COL
105292,Alejandro Gonzalez,R,190,COL
126214,Alejandro Tabilo,L,188,CHI
206499,Aleksandar Kovacevic,U,NULL,USA
126846,Aleksandar Vukic,R,188,AUS
104873,Aleksandr Nedovyesov,R,193,KAZ
105561,Alessandro Giannessi,L,183,ITA
104166,Alex Bogomolov Jr,R,178,RUS
106109,Alex Bolt,L,183,AUS
200282,Alex De Minaur,R,183,AUS
104864,Alex Kuznetsov,R,183,USA
210506,Alex Michelsen,U,NULL,USA
144684,Alex Molcan,L,178,SVK
122330,Alexander Bublik,R,196,KAZ
104628,Alexander Kudryavtsev,R,183,RUS
106310,Alexander Ritschard,R,NULL,SUI
207686,Alexander Shevchenko,R,NULL,KAZ
105528,Alexander Ward,R,185,GBR
100644,Alexander Zverev,R,198,GER
105238,Alexandr Dolgopolov,R,180,UKR
124186,Alexandre Muller,R,183,FRA
200615,Alexei Popyrin,R,196,AUS
106072,Alexey Vatutin,R,178,RUS
105379,Aljaz Bedene,R,181,SLO
105063,Andrea Arnaboldi,L,180,ITA
131934,Andrea Vavassori,R,193,ITA
104676,Andreas Beck,L,190,GER
104890,Andreas Haider Maurer,R,190,AUT
104312,Andreas Seppi,R,190,ITA
105413,Andrej Martin,R,180,SVK
106302,Andrew Harris,R,183,AUS
106225,Andrew Whittington,R,188,AUS
104979,Andrey Golubev,R,185,KAZ
105723,Andrey Kuznetsov,R,185,RUS
126094,Andrey Rublev,R,188,RUS
104918,Andy Murray,R,190,GBR
105302,Ante Pavic,R,196,CRO
126156,Antoine Hoang,R,183,FRA
209070,Arthur Cazaux,R,183,FRA
105963,Arthur De Greef,R,183,BEL
209259,Arthur Fery,R,NULL,GBR
209950,Arthur Fils,R,185,FRA
126239,Arthur Rinderknech,R,196,FRA
106234,Aslan Karatsev,R,185,RUS
105226,Attila Balazs,R,180,HUN
105572,Austin Krajicek,L,188,USA
105678,Axel Michon,L,176,FRA
210097,Ben Shelton,L,NULL,USA
103794,Benjamin Becker,R,178,GER
126127,Benjamin Bonzi,R,185,FRA
105332,Benoit Paire,R,196,FRA
126523,Bernabe Zapata Miralles,R,185,ESP
106071,Bernard Tomic,R,193,AUS
106216,Bjorn Fratangelo,R,183,USA
106425,Blake Mott,U,180,AUS
104882,Blaz Kavcic,R,188,SLO
105641,Blaz Rola,L,193,SLO
106432,Borna Coric,R,188,CRO
127339,Borna Gojo,R,196,CRO
122298,Botic Van De Zandschulp,R,188,NED
105614,Bradley Klahn,L,190,USA
200587,Brandon Holt,R,NULL,USA
206909,Brandon Nakashima,R,185,USA
111790,Brayden Schnur,R,193,CAN
104548,Brian Baker,R,190,USA
105454,Brydan Klein,R,183,AUS
123921,Calvin Hemery,R,188,FRA
111815,Cameron Norrie,L,188,GBR
200116,Camilo Ugo Carabelli,R,NULL,ARG
207989,Carlos Alcaraz,R,185,ESP
104122,Carlos Berlocq,R,183,ARG
126535,Carlos Taberner,R,183,ESP
134770,Casper Ruud,R,183,NOR
105649,Cedrik Marcel Stebe,L,183,GER
117356,Cem Ilkel,R,185,TUR
106328,Christian Harrison,R,178,USA
105872,Christian Lindell,R,193,SWE
111153,Christopher Eubanks,R,201,USA
106331,Christopher Oconnell,R,183,AUS
202358,Chun Hsin Tseng,R,175,TPE
123768,Collin Altamirano,R,188,USA
106005,Constant Lestienne,R,180,FRA
144895,Corentin Moutet,L,178,FRA
106426,Cristian Garin,R,185,CHI
207494,Dalibor Svrcina,R,NULL,CZE
106000,Damir Dzumhur,R,172,BIH
127157,Daniel Altmaier,R,191,GER
104978,Daniel Brands,R,196,GER
105638,Daniel Cox,R,170,GBR
123755,Daniel Elahi Galan,R,191,COL
105554,Daniel Evans,R,175,GBR
104593,Daniel Gimeno Traver,R,185,ESP
109054,Daniel Masur,R,183,GER
103926,Daniel Munoz de la Nava,L,178,ESP
105651,Daniel Smethurst,U,188,GBR
106421,Daniil Medvedev,R,198,RUS
105985,Darian King,R,188,BAR
103970,David Ferrer,R,175,ESP
105676,David Goffin,R,180,BEL
104095,David Guez,R,185,FRA
104797,Denis Istomin,R,188,UZB
106045,Denis Kudla,R,180,USA
133430,Denis Shapovalov,L,185,CAN
110602,Dennis Novak,R,183,AUT
106261,Dennis Novikov,R,193,USA
105842,Di Wu,R,175,CHN
106043,Diego Schwartzman,R,170,ARG
104098,Dmitry Tursunov,R,185,RUS
208502,Dominic Stricker,L,180,SUI
106233,Dominic Thiem,R,185,AUT
136440,Dominik Koepfer,L,180,GER
105385,Donald Young,L,183,USA
104534,Dudi Sela,R,175,ISR
105583,Dusan Lajovic,R,180,SRB
104460,Dustin Brown,R,196,GER
104273,Edouard Roger Vasselin,R,188,FRA
124013,Eduardo Nava,R,NULL,USA
106078,Egor Gerasimov,R,196,BLR
111200,Elias Ymer,R,183,SWE
200611,Elliot Benchetrit,R,193,FRA
200325,Emil Ruusuvuori,R,188,FIN
105877,Emilio Gomez,R,185,ECU
207182,Emilio Nava,R,183,USA
111505,Enzo Couacaud,R,183,FRA
124014,Ernesto Escobedo,R,185,MEX
105208,Ernests Gulbis,R,190,LAT
210319,Ethan Quinn,U,NULL,USA
105960,Evan King,L,185,USA
105539,Evgeny Donskoy,R,185,RUS
206681,Fabian Marozsan,R,191,HUN
104926,Fabio Fognini,R,178,ITA
106032,Facundo Arguello,R,178,ARG
105487,Facundo Bagnis,L,183,ARG
207680,Facundo Diaz Acosta,L,183,ARG
105948,Federico Coria,R,180,ARG
105643,Federico Delbonis,L,190,ARG
105943,Federico Gaio,R,180,ITA
103852,Feliciano Lopez,L,188,ESP
200335,Felipe Meligeni Alves,R,185,BRA
200000,Felix Auger Aliassime,R,193,CAN
104269,Fernando Verdasco,L,188,ESP
105936,Filip Krajinovic,R,185,SRB
103835,Filippo Volandri,R,183,ITA
207925,Flavio Cobolli,R,NULL,ITA
104252,Florian Mayer,R,190,GER
126207,Frances Tiafoe,R,188,USA
202103,Francisco Cerundolo,R,185,ARG
106162,Franco AgameNULL,L,NULL,ITA
104433,Frank Dancevic,R,185,CAN
105015,Franko Skugor,R,193,CRO
106393,Frederico Ferreira Silva,L,178,POR
104792,Gael Monfils,R,193,FRA
105671,Gastao Elias,R,178,POR
144821,Genaro Alberto Olivieri,U,NULL,ARG
144972,Geoffrey Blancaneaux,R,180,FRA
207785,George Loffhagen,R,NULL,GBR
105589,Gerald Melzer,L,188,AUT
105325,Germain Gigounon,R,NULL,BEL
126149,Gianluca Mager,R,185,ITA
133835,Gijs Brouwer,L,NULL,NED
104180,Gilles Muller,L,193,LUX
104468,Gilles Simon,R,183,FRA
208659,Giovanni Mpetshi Perricard,R,NULL,FRA
206748,Giulio Zeppieri,L,185,ITA
105163,Gleb Sakharov,R,185,FRA
104424,Go Soeda,R,178,JPN
106296,Gregoire Barrere,R,183,FRA
105777,Grigor Dimitrov,R,188,BUL
105819,Guido Andreozzi,R,183,ARG
105550,Guido Pella,L,185,ARG
106105,Guilherme Clezar,R,183,BRA
104198,Guillermo Garcia Lopez,R,188,ESP
209098,Hamad Medjedovic,R,185,SRB
208004,Harold Mayot,R,178,FRA
105967,Henri Laaksonen,R,185,SUI
105655,Hiroki Moriya,R,170,JPN
208029,Holger Rune,R,185,DEN
104547,Horacio Zeballos,L,188,ARG
128034,Hubert Hurkacz,R,196,POL
106198,Hugo Dellien,R,180,BOL
